user,tweet
inewsdotid,"Video  Tanggul Bengawan Solo Longsor Sepanjang 70 Meter, 2 Kecamatan Terancam Banjir https://t.co/V4jJqBQaWq #longsor #bengawansolo"
Syamsud76579252,RT @republikaonline: Wilayah sekitar sesar Lembang dan Tangkuban Perahu menjadi daerah potensi bencana. https://t.co/OO9ZTd8Txh
republikaonline,Wilayah sekitar sesar Lembang dan Tangkuban Perahu menjadi daerah potensi bencana. https://t.co/OO9ZTd8Txh
DebloKocak,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
AnisaDee98,"Banyak longsor sama banjir ya
Pembahasan yg rame sekarang tuh ini
PPKM Level 3 Nataru Batal Diterapkan di Seluruh Indonesia
Covid-19
Ada 4.257.815
Meninggal 143.876
7 Desember 2021
Selasa
Kepencet
Sayap
Nusantara
Sophia Latjuba
Dingin
Hujan
Makasar
Rusmini https://t.co/OHRyiwjLCo"
nenijusuf,@DPP_PPP #PPPpeduli Bencana dng membantu korban Bencana Banjir &amp; Longsor di Lombok NTB #PartaiPPP @DPP_PPP @PPP_JKT_TIMUR
nenijusuf,"RT @DPP_PPP: Respon Cepat Satgas Becana LIGANA DPP PPP Membantu Korban Bencana Banjir Dan Longsor di Lombok NTB

Semoga sedikit membantu ma…"
ISalutem,"Tanggul Bengawan Solo Longsor 70 Meter, 2 Kecamatan di Bojonegoro Terancam Banjir https://t.co/oRrUF8dJGh"
daniaku7,Rencana pemerintah adalah nanti bibit-bibit yang sudah disemai di tempat persemaian bisa ditanam pada lokasi yang sering terjadi banjir dan longsor. Wah keren nih strategi pemerintah...
daniaku7,"Menghidu udara segar yang bisa menjaga kebugaran serta kewarasan. Sayang masih hari kerja, jadi ga bakalan bisa kabur. Btw beberapa hari terakhir banyak kabar sedih dari daerah lain yg tertimpa musibah. Ada letusan Gunung semeru, longsor juga banjir.. https://t.co/Wkt56lhKaO"
adisutan6,"RT @DPPFPI_Official: Semeru Erupsi
Kolaka, Blitar &amp; Temanggung diterjang puting beliung
Banjir &amp; Longsor di Lombok &amp; Bali
Banjir Rob di Jak…"
